story_title,story_img,story_link,type,national_slug
Wildfire risk rising amid rapid development in North Carolina,https://static.abcotvs.com/wtvd/images/cms/automation/vod/WildfiresNC.jpg,https://abc11.com/wildfires-nc-risk-rapid-development-population-boom-weathering-tomorrrow/14088771/,local,
Learning to live with fire risk in Southern California,https://static.abcotvs.com/kabc/images/cms/112123-kabc-wt-fire-risk-woolsey-wildfire-ap1280.jpg,https://abc7.com/how-to-mitigate-my-home-for-wildfire-southern-california-risk-retrofit-fire/14066095/,local,
"As wildfire risk increases in Bay Area, communities are building back better with new technology",https://static.abcotvs.com/kgo/images/cms/automation/vod/111723-kgo-home-hardening-split-img.jpg,https://abc7news.com/california-wildfires-wildfire-recovery-safety-home-insurance/14066645/,local,
How Staten Island is fighting against the invasive plant feeding brush fires,https://static.abcotvs.com/wabc/images/cms/automation/vod/111523-wabc-phragmites-img.jpg,https://abc7ny.com/staten-island-brush-fires-wildfire-invasive-plants/14060024/,local,
More homes in wildfire-prone areas means learning to live with fire,img/fire-ground.jpg,14041834,national,fire-building
The multiple tiers of wildfire mitigation solutions,img/fire-homes.jpg,14041793,national,fire-solutions
Wildfire risk increasing in southeast Texas,https://static.abcotvs.com/ktrk/images/cms/111523-ktrk-esm-weathering-tomorrow-wildfires-img.jpg,https://abc13.com/houston-at-risk-of-wildfires-in-wildfire-maui/14063682/,local,
Flood risk is increasing in the United States. But most don't have insurance,img/flooding-bg-still.jpg,13816334,national,flooding
Could flooding be CA's next insurance crisis? Here's what data shows,https://static.abcotvs.com/kgo/images/cms/automation/vod/100423-kgo-flooding-sign-img.jpg,https://abc7news.com/flooding-weather-bay-area-flood-insurance/13856343/,local,
How LA is reimagining flood infrastructure,https://static.abcotvs.com/kabc/images/cms/automation/vod/100323-kabc-5pm-weather-flood-risk-vid.jpg,https://abc7.com/is-my-home-at-risk-of-flooding-how-do-i-find-out-if-house-will-flood-when-it-rains-southern-california-climate/13828791/,local,
Some Houstonians focused on protecting properties for future flood events,https://cdn.abcotvs.com/dip/images/13836218_flooding-img.jpg,https://abc13.com/abc13-weathering-tomorrow-houston-flooding-homeowners-flood-insurance-in/13835618/,local,
Majority of Cook County homes and businesses uninsured for increased flood risk,https://cdn.abcotvs.com/dip/images/13856712_092823-wls-weathering-tomorrow-5p-vid.jpg,https://abc7chicago.com/weathering-tomorrow-flood-insurance-cook-county-flooding/13836425/,local,
